index,id,label,type,type_label,uri,birthYear,dateLabel,deathYear,externalURL,gregorianDate,hanjaName,headnote,lifeSpan,locationLabel,reignMonarch,reignYear,reignYearLabel,sexagenaryYear
57,doc_16621022,문건16621022,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16621022,,"1662년(현종3, 壬寅) 10월22일",,,1662-10-22,,,,,현종,3,현종3년 (1662년),壬寅
58,doc_16621101,문건16621101,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16621101,,"1662년(현종3, 壬寅) 11월 1일",,,1662-11-01,,,,,현종,3,현종3년 (1662년),壬寅
59,doc_16630129,문건16630129,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630129,,"1663년(현종4, 癸卯) 1월29일",,,1663-01-29,,,,,현종,4,현종4년 (1663년),癸卯
60,doc_16630226,문건16630226,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630226,,"1663년(현종4, 癸卯) 2월26일",,,1663-02-26,,,,,현종,4,현종4년 (1663년),癸卯
61,doc_16630420a,문건16630420a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630420a,,"1663년(현종4, 癸卯) 4월20일",,,1663-04-20,,,,,현종,4,현종4년 (1663년),癸卯
62,doc_16630420b,문건16630420b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630420b,,"1663년(현종4, 癸卯) 4월20일",,,1663-04-20,,,,,현종,4,현종4년 (1663년),癸卯
63,doc_16630427,문건16630427,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630427,,"1663년(현종4, 癸卯) 4월27일",,,1663-04-27,,,,,현종,4,현종4년 (1663년),癸卯
64,doc_16630615,문건16630615,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630615,,"1663년(현종4, 癸卯) 6월15일",,,1663-06-15,,,,,현종,4,현종4년 (1663년),癸卯
65,doc_16630703,문건16630703,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630703,,"1663년(현종4, 癸卯) 7월3일",,,1663-07-03,,,,,현종,4,현종4년 (1663년),癸卯
66,doc_16630710a,문건16630710a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630710a,,"1663년(현종4, 癸卯) 7월10일",,,1663-07-10,,,,,현종,4,현종4년 (1663년),癸卯
67,doc_16630710b,문건16630710b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630710b,,"1663년(현종4, 癸卯) 7월10일",,,1663-07-10,,,,,현종,4,현종4년 (1663년),癸卯
