index,source,target,relation,relation_label,source_label,target_label,source_type,target_type,relation_uri
70,AE61_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향61_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
71,AE62_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향62_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
72,AE63_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향63_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
73,AE64_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향64_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
74,AE65_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향65_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
75,AE66_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향66_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
76,AE67_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향67_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
77,AE68_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향68_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
78,AE68_Pet1_Review1,AdditionalEnshrinementPetition,actType,행위유형,추향68_청원1(심사1),추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
79,AE69_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향69_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
80,AE6_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향6_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
81,AE70_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향70_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
82,AE71_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향71_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
83,AE72_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향72_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
84,AE73_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향73_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
85,AE7_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향7_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
86,AE8_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향8_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
87,AE9_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향9_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
88,AE9_Pet2,AdditionalEnshrinementPetition,actType,행위유형,추향9_청원2,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
89,FD10_Pet1,FoundationPetition,actType,행위유형,청건10_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
90,FD10_Pet2,FoundationPetition,actType,행위유형,청건10_청원2,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
91,FD11_Pet1,FoundationPetition,actType,행위유형,청건11_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
92,FD12_Pet1,FoundationPetition,actType,행위유형,청건12_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
93,FD12_Pet1_Review1,FoundationPetition,actType,행위유형,청건12_청원1(심사1),청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
94,FD13_Pet1,FoundationPetition,actType,행위유형,청건13_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
95,FD14_Pet1,FoundationPetition,actType,행위유형,청건14_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
96,FD15_Pet1,FoundationPetition,actType,행위유형,청건15_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
97,FD16_Pet1,FoundationPetition,actType,행위유형,청건16_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
98,FD17_Pet1,FoundationPetition,actType,행위유형,청건17_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
99,FD17_Pet2,FoundationPetition,actType,행위유형,청건17_청원2,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
100,FD19_Pet1,FoundationPetition,actType,행위유형,청건19_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
101,FD1_Pet1,FoundationPetition,actType,행위유형,청건1_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
102,FD20_Pet1,FoundationPetition,actType,행위유형,청건20_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
103,FD21_Pet1,FoundationPetition,actType,행위유형,청건21_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
104,FD22_Pet1,FoundationPetition,actType,행위유형,청건22_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
105,FD23_Pet1,FoundationPetition,actType,행위유형,청건23_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
106,FD23_Pet2,FoundationPetition,actType,행위유형,청건23_청원2,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
107,FD24_Pet1,FoundationPetition,actType,행위유형,청건24_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
108,FD25_Pet1,FoundationPetition,actType,행위유형,청건25_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
109,FD26_Pet1,FoundationPetition,actType,행위유형,청건26_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
110,FD27_Pet1,FoundationPetition,actType,행위유형,청건27_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
