id,label,type,originalText
doc_16520605,문건16520605,Document,金化居幼學朴時璡等上疏據曹 啓目粘連 啓下 是白有亦向前朴時璡等爲忠臣洪命耉戰死之地 旣立祠宇願得賜額爲白良結陳疏是白在果判 書出使未還姑待上來後相議 稟處何如 啓依允
doc_16520614a,문건16520614a,Document,曹 啓目粘連 啓下是白有亦金化儒生等陳疏辭 緣則痛念平安監司洪命耈死國之忠節卽其地立祠 瞻依之所仍請 賜額其意可尙是白在果歷觀■壬 壬辰以後表表死節趙憲金千鎰高敬命俱爲立 祠 賜額爲白乎旀至於上年南原士民等爲本城 陷沒時死節諸臣建祠請號亦蒙 恩額一體依願 似不可已是白在果此非該曹所敢擅便 上裁何如依 回啓施行爲良如敎
doc_16520614b,문건16520614b,Document,曹 啓目粘連 判下是白有亦同立祠處定額號 賜寫等事令各該司依例擧行本曹郞廳齎送香 祝額號自本道祭物措備致祭設行之意竝爲 行移知委何如 啓依允
doc_16520920a,문건16520920a,Document,曹 啓曰道峯書院有司閔蓍重進士趙禧錫等呈 書本曹曰書院典僕元來數少又甚疲殘其中仁會 者本無在屬貧窮無依常有逃散之勢而其妻太 眞馨長之婢産一女曰愛節今者太眞愛節等 以逆家奴婢將定屬於京衙門若有分離之患則逃 散丁寧若干奴僕中又失此奴則本院凡事無以成形 院中諸儒莫不爲悶如此事勢院長李領府事領 左相皆已俯悉伏望具由入 啓竝其母女永屬本 院以爲學宮支保之地不勝幸甚云自前各處書院 典僕以屬公奴婢題給自是規例而本院本以典僕 數少之地仁會又將有分離逃散之勢則其於春秋 享祀朝夕接待儒生之際必不成模樣指此數口婢子 以副院儒之望未爲不可令該院稟處何如 傳曰 允
doc_16520920b,문건16520920b,Document,黃海道延安幼學宋以昌等上疏據曹 啓目粘連 啓下是白有亦書院之設實出於崇儒重道誘掖 激勸之意而今此儒生等五陳疏章冀 蒙賜額之 典似當依願施行是白乎矣該曹不敢擅便 上裁 何如 啓外方儒生蔑視孔廟徒爲此擧反有輕重 例置之歎實涉弊風姑徐爲良如敎
doc_16530605,문건16530605,Document,曹 啓曰金化士人朴時璡等以防御使元豪壬 辰死節請祠事 上疏當爲回 啓而判書臣李□因 臺諫避嫌不得行公待判書出仕後回 啓之意 敢 啓 傳曰知道
doc_16530614,문건16530614,Document,金化士人朴時璡等上疏元豪立祠事據曹回 啓 內觀此疏辭則請以元豪列享於洪命耈祠宇之中 爲白有置元豪死節之蹟若如是其烈烈則 國家 崇報之典似不必取捨於其間是白乎矣但所謂金化 所建祠宇雖出於其地之人所倡而本邑以十室殘邑無 力可辦中外之人嘉命耈之節義不惜捐財相與造 成而 朝廷褒之 賜以美額則此爲洪命耈之祠宇 也今若以別人許其竝享則事勢非便哛不喩以 盧蓋邦之事追施莫重之典似涉紛紜今姑置之 事纔有別 敎疏內辭緣勿施何如 啓依允
doc_16530716a,문건16530716a,Document,左議政金堉箚子伏以褒崇節義奬勵四方帝王 之盛典也是以比干之廟武王立之王蠋之廟[墓]樂毅封之 在他國猶然而況於 本朝乎故防禦使臣元豪壬辰之 亂 將關東兵以烏合之衆當鴟張之賊 國勢已傾 軍聲未振而惟以一死報國爲心龜浦之戰始獲少 利金化之役猝遇大敵終日力鬪矢窮兵盡投身千仞 之壑視死如歸雖古之烈士何以加玆一鄕之人感其義 烈封疏叫閽欲請祠享惜乎其時也後其言也晩未 免致因人成事之疑也今世知豪之事者莫過於臣 豪初以文人受學於臣曾祖 贈判書德秀一時同遊 門下者後多爲名公卿豪尊師向學之心不懈於投 筆之後居在原州仕宦京洛而往來必展拜於師墓 之下臣十餘歲隨父於平丘廬幕之中每見豪拜於 路傍壬辰軍行忙擾之際亦見其下馬而拜臣雖稚少 心敬其爲人至今森然而在目且豪之乘障北邊也寒 月苦戰指皆墮落臣亦知之及聞其死於 王事益 信前日之實行也頃者伏見該曹回 啓臣不勝慨然 我國兵禍之慘莫甚於壬辰丙子而戰死金化者前 後兩人其節義之炳炳少無差等其地同其事同其 義節同同享一祠豈有不可者乎忠魂毅魄不孤而有 隣冥漠之中亦必有合幷之歡矣自古同祀一宇者何 限睢陽雙廟固是一時同死之人宋之廬陵忠節祠文 文天祥同入於楊邦乂之列正德中衡州四忠祠幷祠南 霽雲雷萬春周必大陳億孫世之相後若此其遠 人之處事如是不同而猶且以一州之人幷祠之該曹所 謂以別人許其幷享事勢非便云者臣未曉其意 也伏願依宋象賢近例 特賜洪命耈元豪之諡幷 享一祠以示崇奬之典樹之風聲不勝幸甚取進止順 治十年七月初八日 啓下禮曹曹 啓目粘連 啓下是白 有亦臣等伏見左議政金堉箚辭實出於自在稚少 心敬元豪之爲人及其死於 王事益信前日之實 行而有此陳請是白齊前月間有金化儒生朴時璡 等十九人聯名 上疏請以元豪竝享洪命耈祠宇 事本曹覆 啓內別人許其竝享事勢非便且擧 盧蓋邦之不許宋象賢竝享 判付內今姑置之之 敎以勿施停當爲白有在果時璡疏中有曰故相臣 柳成龍嘗著一書備記壬辰時事而載豪事頗詳 之而仍考其書則果有江原道助防將元豪擊賊 于龜尾浦殲之又戰于春川兵敗以死云又曰利川 呂川楊根砥平等邑之民見遺於賊鋒故人以爲豪 之功也等語則其義節之表著豈可比之於盧蓋邦 乎大槪當其 大駕播越八路賊藪 朝廷命令斷絶 不通之際豪敢以數百孤軍殲賊于龜浦又見大敵 終日力戰矢窮兵盡投身絶壑以死報國其精忠義 烈照人耳目民到于今稱之者有良以也況大臣進箚 歷敍豪之始終如是明白則誠不可泯滅無傳於後世 矣追褒義烈以樹風聲固是帝王之盛典洪命耈 元豪等依箚辭贈諡易名似爲宜當爲白乎旀且 本縣祠宇雖爲洪命耈而設似無不可竝享之事而係 是大段褒崇之典臣曹不敢擅便議大臣定奪何如 順治十年七月十五日左副承旨臣金佐明次知 啓依允 元 豪旣死於春川則何以請享於金化耶此一款似未妥當 更議處之爲良如敎曹 啓目粘連 判下是白有亦故相 臣柳成龍所記中元豪戰死於春川是如爲白乎矣 朴時璡等疏內元豪遇賊屢戰乘勝轉戰于金化不 幸兵敗而死縣中父老猶有目見而詳言者云云爲白 乎旀又聞當初豪之戰死也其宗人收屍於金化距縣 十里之地是如其子孫明白詳言爲白去等懲毖錄所 謂春川戰死云者似是搶攘中因人傳聞傳者初不 能詳言則記者誤錄其地名其勢或然是白置覆啓 之時收屍金化地一款臣等矇然不察未及擧論致勤 聖敎不勝惶恐此一款竝入於收議中何如 啓依允曹 啓目粘連 啓下是白有亦議于大臣則領敦寧府事李 景奭以爲忠義之士不可不褒而祀享之典不可苟爲也 元豪之忠烈臣亦聞知蓋臣之父兄常所稱說者也左 相之欲其褒揚誠出於爲國家樹風聲之至意臣心亦 何嘗異哉第易名係是 恩命雖在久遠追加 盛典 恐無不可祠宇之建出於衆力而同之似不可强元豪死 之之地記之者以爲春川傳之者以爲金化二說之不同終 必有可據之證左而惟是金化之建祠本爲洪命耈而設 地雖嶺西力合諸道人道神理不甚相遠凡人之處世也 與人同舍猶必審愼今爲他人建祠而一朝使之雍容竝 享則忠魂烈魄如或有知不亦以爲苟乎追後配享因 多有之竝享與配享自別慮其苟焉者爲此故也然 臣何敢以淺見爲是伏惟 上裁領議政鄭太和以爲故防禦 使元豪壬辰節義之死人所共聞而旣於其地設建洪命 耈祠宇則亦令同參享祠之烈似無不可誠如大臣箚辭及 禮官覆啓之意伏惟 上裁右議政李時白以爲今此元 豪之死事載於 國乘與否臣不得知而故相臣柳成龍懲 毖錄有曰江原道助防將元豪擊賊於春川兵敗而死云 金化人疏中有收死於縣地云此則事雖久遠自可明辨而 但聞洪命耈祠宇非獨一鄕慕義而設也遠道之人亦 爲洪命耈鳩集材力以爲相助云到今元豪竝享似涉 苟且臣意未知其如何伏惟 睿裁領中樞府事李敬輿 以爲臣於此事有涉婚嫁嫌不敢獻議伏惟 上裁大 臣之意如此 上裁何如 啓依領敦寧府事及右相議爲 良如敎
doc_16530716b,문건16530716b,Document,曹 啓目粘連 判下是白有亦洪命耈元豪兩人贈 諡則依左議政金堉箚辭本曹以易名宜當回 啓依 允事 判下領敦寧府事李景奭收議中雖在久遠追 加 盛典恐無不可云兩人 賜諡待本家諡狀撰送後 依例擧行何如 啓依允
doc_16550419,문건16550419,Document,江原道江陵居進士朴震揩等上疏據曹回 啓內觀此朴 震揩等陳疏則江陵乃故文成公臣李珥外鄕而生長往 來之地也李珥道學深造爲世儒宗而其於本土士子薰 灸誘掖之功亦不淺鮮多士等追慕立祠以爲莊修之 所積有歲年矣今又千里籲呼有此賜額之請實是至 誠之所發坡山祠宇旣賜紫雲之額似當一體施行而事 係 特恩非該曹所敢擅便 上裁何如啓可使李珥遍行 國中則所到處皆可書院乎似涉紛紜今始置之爲良如敎
